mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.959,0.05,0.989,0.5273,tanh,0.1,"(5, 50)",invscaling,lbfgs
0.959,0.048,0.977,1.1153,relu,0.1,"(10, 50)",adaptive,adam
0.959,0.048,0.964,0.871,relu,10,"(5, 50)",constant,adam
0.959,0.046,0.959,1.1785,tanh,10,"(5, 100)",adaptive,adam
0.959,0.045,0.966,1.2746,logistic,0.1,"(10, 100)",adaptive,adam
0.959,0.044,0.971,1.3634,tanh,1,"(10, 100)",constant,adam
0.959,0.041,0.966,0.9105,logistic,0.1,"(10, 50)",invscaling,adam
0.959,0.038,0.999,1.0521,tanh,1,"(10, 100)",constant,lbfgs
0.959,0.038,0.961,0.7889,relu,0.1,"(5, 50)",adaptive,sgd
0.959,0.034,0.971,1.0098,tanh,1,"(10, 50)",adaptive,adam
0.959,0.028,0.984,0.5326,relu,1,"(5, 100)",adaptive,lbfgs
0.958,0.067,0.962,0.9221,identity,10,"(5, 50)",constant,adam
0.958,0.063,0.963,0.9863,identity,1,"(5, 100)",constant,sgd
0.958,0.063,0.981,0.3356,relu,0.1,"(5, 50)",constant,lbfgs
0.958,0.06,0.965,1.0003,tanh,10,"(10, 50)",invscaling,adam
0.958,0.056,0.967,0.8749,identity,0.1,"(10, 50)",constant,sgd
0.958,0.053,0.961,0.8288,identity,1,"(5, 100)",adaptive,sgd
0.958,0.053,0.988,0.9085,tanh,0.1,"(5, 100)",invscaling,lbfgs
0.958,0.051,0.962,1.1971,logistic,0.1,"(5, 100)",adaptive,adam
0.958,0.05,0.963,1.2002,logistic,0.1,"(5, 100)",constant,adam
0.958,0.05,0.966,0.9563,logistic,0.1,"(10, 50)",constant,adam
0.958,0.049,0.961,0.94,logistic,1,"(10, 50)",adaptive,adam
0.958,0.048,0.972,0.8421,relu,0.1,"(5, 50)",constant,adam
0.958,0.042,0.964,0.9274,tanh,1,"(5, 50)",invscaling,adam
0.958,0.04,0.962,0.9128,tanh,0.1,"(5, 50)",adaptive,adam
0.958,0.038,0.964,1.0584,relu,1,"(5, 50)",constant,sgd
0.956,0.065,0.966,0.7609,identity,1,"(10, 100)",constant,sgd
0.956,0.062,0.961,1.3244,logistic,1,"(10, 100)",constant,adam
0.956,0.062,0.973,1.0704,tanh,0.1,"(10, 50)",adaptive,adam
0.956,0.059,0.963,0.9703,relu,0.1,"(5, 100)",adaptive,sgd
0.956,0.058,0.961,0.905,logistic,0.1,"(5, 50)",constant,adam
0.956,0.057,0.964,0.9689,identity,0.1,"(5, 100)",constant,sgd
0.956,0.057,0.965,0.8926,identity,1,"(10, 50)",adaptive,sgd
0.956,0.057,0.957,0.9229,tanh,10,"(5, 50)",adaptive,adam
0.956,0.054,0.96,1.2617,logistic,1,"(10, 100)",invscaling,adam
0.956,0.053,0.988,0.9751,tanh,0.1,"(5, 100)",adaptive,lbfgs
0.956,0.052,0.962,1.2088,logistic,0.1,"(5, 100)",invscaling,adam
0.956,0.05,0.961,1.396,relu,1,"(10, 100)",constant,sgd
0.956,0.049,0.962,0.7679,relu,0.1,"(5, 50)",constant,sgd
0.956,0.045,0.993,0.5844,tanh,1,"(5, 50)",invscaling,lbfgs
0.956,0.032,0.99,0.5154,logistic,0.1,"(5, 50)",invscaling,lbfgs
0.955,0.109,0.979,0.4698,relu,0.1,"(5, 100)",adaptive,lbfgs
0.955,0.069,0.973,1.1015,tanh,0.1,"(10, 50)",invscaling,adam
0.955,0.069,0.958,1.1806,tanh,10,"(10, 100)",adaptive,sgd
0.955,0.067,0.961,0.9337,logistic,1,"(10, 50)",constant,adam
0.955,0.067,0.964,0.8964,relu,1,"(10, 50)",adaptive,sgd
0.955,0.067,0.996,0.7216,relu,1,"(10, 100)",invscaling,lbfgs
0.955,0.066,0.963,1.0744,identity,10,"(5, 100)",constant,adam
0.955,0.066,0.96,0.9567,logistic,1,"(10, 50)",invscaling,adam
0.955,0.062,0.962,0.6889,identity,1,"(5, 50)",adaptive,sgd
0.955,0.06,0.967,1.0072,identity,0.1,"(10, 100)",constant,sgd
0.955,0.057,0.964,0.7863,identity,1,"(5, 50)",constant,sgd
0.955,0.057,0.965,1.207,tanh,1,"(5, 100)",constant,adam
0.955,0.057,0.992,0.8313,relu,1,"(10, 100)",constant,lbfgs
0.955,0.056,0.962,1.5293,relu,0.1,"(10, 100)",adaptive,sgd
0.955,0.054,0.962,0.9287,logistic,0.1,"(5, 50)",invscaling,adam
0.955,0.051,0.96,0.9034,logistic,0.1,"(5, 50)",adaptive,adam
0.955,0.044,0.978,1.3566,tanh,0.1,"(10, 100)",invscaling,adam
0.955,0.044,0.96,1.1295,relu,1,"(5, 100)",adaptive,sgd
0.953,0.076,0.961,1.2092,relu,1,"(5, 100)",constant,sgd
0.953,0.075,0.987,0.6332,relu,1,"(5, 50)",constant,lbfgs
0.953,0.069,0.964,1.2561,tanh,1,"(5, 100)",adaptive,adam
0.953,0.064,0.998,0.6274,tanh,1,"(10, 50)",invscaling,lbfgs
0.953,0.06,0.962,1.0791,relu,1,"(10, 100)",adaptive,sgd
0.953,0.054,0.962,1.2996,relu,0.1,"(10, 50)",adaptive,sgd
0.953,0.045,0.961,1.1144,relu,1,"(5, 50)",adaptive,sgd
0.953,0.033,0.999,0.6314,tanh,1,"(10, 50)",adaptive,lbfgs
0.952,0.075,0.961,0.9253,relu,0.1,"(5, 100)",constant,sgd
0.952,0.075,0.985,0.6166,relu,1,"(5, 100)",constant,lbfgs
0.952,0.069,0.956,0.8753,tanh,10,"(10, 50)",adaptive,sgd
0.952,0.069,0.976,0.2685,relu,0.1,"(5, 50)",adaptive,lbfgs
0.952,0.068,0.965,0.7754,identity,0.1,"(5, 50)",adaptive,sgd
0.952,0.068,0.996,0.4802,relu,0.1,"(10, 50)",constant,lbfgs
0.952,0.066,0.955,1.2225,tanh,10,"(10, 100)",constant,sgd
0.952,0.065,0.963,1.0743,relu,1,"(10, 50)",constant,sgd
0.952,0.058,0.993,0.478,logistic,0.1,"(5, 50)",adaptive,lbfgs
0.952,0.058,0.963,1.3306,tanh,1,"(5, 100)",invscaling,adam
0.952,0.057,0.963,0.7439,identity,0.1,"(5, 50)",constant,sgd
0.952,0.055,0.976,1.3467,tanh,0.1,"(10, 100)",constant,adam
0.952,0.051,0.994,0.4936,logistic,0.1,"(5, 50)",constant,lbfgs
0.952,0.042,0.989,0.8751,tanh,0.1,"(5, 100)",constant,lbfgs
0.952,0.041,0.966,0.8983,tanh,1,"(5, 50)",adaptive,adam
0.95,0.069,0.998,0.8951,logistic,0.1,"(10, 100)",constant,lbfgs
0.95,0.066,0.995,0.4638,relu,1,"(10, 50)",constant,lbfgs
0.95,0.061,0.997,0.9792,tanh,0.1,"(10, 100)",constant,lbfgs
0.95,0.054,0.994,0.874,logistic,0.1,"(5, 100)",constant,lbfgs
0.95,0.052,0.999,0.5733,tanh,1,"(10, 50)",constant,lbfgs
0.95,0.052,0.962,0.956,relu,0.1,"(10, 50)",constant,sgd
0.95,0.045,0.975,1.3263,tanh,0.1,"(10, 100)",adaptive,adam
0.95,0.035,0.963,0.975,tanh,1,"(5, 50)",constant,adam
