mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.966,0.021,0.974,0.2357,100,5,0.1,linear
0.96,0.044,1.0,0.0074,100,5,0.1,rbf
0.94,0.022,1.0,0.0125,100,5,0.1,poly
0.966,0.021,0.974,0.2566,100,5,1,linear
0.884,0.039,1.0,0.0153,100,5,1,rbf
0.94,0.022,1.0,0.013,100,5,1,poly
0.966,0.021,0.974,0.2359,100,5,10,linear
0.69,0.047,1.0,0.0113,100,5,10,rbf
0.94,0.022,1.0,0.0129,100,5,10,poly
0.966,0.021,0.974,0.2357,100,5,100,linear
0.69,0.047,1.0,0.0113,100,5,100,rbf
0.94,0.022,1.0,0.011,100,5,100,poly
0.966,0.021,0.974,0.272,100,6,0.1,linear
0.96,0.044,1.0,0.0082,100,6,0.1,rbf
0.94,0.034,1.0,0.0141,100,6,0.1,poly
0.966,0.021,0.974,0.3073,100,6,1,linear
0.884,0.039,1.0,0.0139,100,6,1,rbf
0.94,0.034,1.0,0.0147,100,6,1,poly
0.966,0.021,0.974,0.2542,100,6,10,linear
0.69,0.047,1.0,0.0117,100,6,10,rbf
0.94,0.034,1.0,0.0152,100,6,10,poly
0.966,0.021,0.974,0.2403,100,6,100,linear
0.69,0.047,1.0,0.0125,100,6,100,rbf
0.94,0.034,1.0,0.0129,100,6,100,poly
0.966,0.021,0.974,2.2376,1000,0,0.1,linear
0.96,0.044,1.0,0.0075,1000,0,0.1,rbf
0.65,0.003,0.65,0.0047,1000,0,0.1,poly
0.966,0.021,0.974,2.2291,1000,0,1,linear
0.884,0.039,1.0,0.0186,1000,0,1,rbf
0.65,0.003,0.65,0.0048,1000,0,1,poly
0.966,0.021,0.974,2.2226,1000,0,10,linear
0.69,0.047,1.0,0.0116,1000,0,10,rbf
0.65,0.003,0.65,0.0047,1000,0,10,poly
0.966,0.021,0.974,2.0784,1000,0,100,linear
0.69,0.047,1.0,0.0114,1000,0,100,rbf
0.65,0.003,0.65,0.0046,1000,0,100,poly
0.966,0.021,0.974,2.0907,1000,1,0.1,linear
0.96,0.044,1.0,0.007,1000,1,0.1,rbf
0.966,0.021,0.974,0.2303,1000,1,0.1,poly
0.966,0.021,0.974,2.1002,1000,1,1,linear
0.884,0.039,1.0,0.0138,1000,1,1,rbf
0.966,0.021,0.974,2.1178,1000,1,1,poly
0.966,0.021,0.974,2.1527,1000,1,10,linear
0.69,0.047,1.0,0.0126,1000,1,10,rbf
0.966,0.021,0.974,16.7451,1000,1,10,poly
0.966,0.021,0.974,2.1113,1000,1,100,linear
0.69,0.047,1.0,0.011,1000,1,100,rbf
0.966,0.021,0.974,146.4293,1000,1,100,poly
0.966,0.021,0.974,2.0462,1000,2,0.1,linear
0.96,0.044,1.0,0.0077,1000,2,0.1,rbf
0.928,0.054,1.0,0.1497,1000,2,0.1,poly
0.966,0.021,0.974,2.0648,1000,2,1,linear
0.884,0.039,1.0,0.0131,1000,2,1,rbf
0.928,0.054,1.0,0.1197,1000,2,1,poly
0.966,0.021,0.974,2.0893,1000,2,10,linear
0.69,0.047,1.0,0.0115,1000,2,10,rbf
0.928,0.054,1.0,0.1526,1000,2,10,poly
0.966,0.021,0.974,2.0475,1000,2,100,linear
0.69,0.047,1.0,0.011,1000,2,100,rbf
0.928,0.054,1.0,0.0969,1000,2,100,poly
0.966,0.021,0.974,2.1509,1000,3,0.1,linear
0.96,0.044,1.0,0.0073,1000,3,0.1,rbf
0.944,0.041,1.0,0.0284,1000,3,0.1,poly
0.966,0.021,0.974,2.1938,1000,3,1,linear
0.884,0.039,1.0,0.0132,1000,3,1,rbf
0.944,0.041,1.0,0.0223,1000,3,1,poly
0.966,0.021,0.974,2.3433,1000,3,10,linear
0.69,0.047,1.0,0.0124,1000,3,10,rbf
0.944,0.041,1.0,0.0253,1000,3,10,poly
0.966,0.021,0.974,2.2728,1000,3,100,linear
0.69,0.047,1.0,0.0213,1000,3,100,rbf
0.944,0.041,1.0,0.0276,1000,3,100,poly
